trainMae,trainMdae,testMae,testMdae,testMaeChina,testMdaeChina,testMaeEU30,testMdaeEU30,testMaeNAFTA,testMdaeNAFTA,testMaeROW,testMdaeROW
0.006145973360626235,0.004641969877130309,0.015952297508589605,0.011741975774811814,0.024358375397985924,0.022550139654190143,0.007625835169224027,0.005128023738713999,0.014983766433852136,0.01391932466363139,0.016304328155582474,0.013072610330496212
0.006193564435870664,0.004614504843302711,0.012500330593356274,0.00983067670010189,0.01571599114727285,0.013774683579153471,0.006800950264823179,0.005629160270490858,0.01344085441364997,0.011635108387298788,0.014034168477351283,0.011978974123368312
0.006046014950593051,0.004636399667088561,0.014517387790628528,0.012351958940690522,0.018847582689771835,0.01710985832188304,0.007157517042332272,0.005287666481129583,0.014885582410793392,0.014223548549316584,0.016554713876117778,0.014298660766464633
0.005960883942661103,0.0044642295588775225,0.014071556871072562,0.011491587384970265,0.01977824829806484,0.015328518653456469,0.00687196939993618,0.0051906585304957505,0.014130025655525407,0.013152446474079838,0.016175013987141336,0.013772806759737606
0.006144574058208109,0.004622227614175656,0.014532049571494229,0.01174992418802965,0.01931773399488123,0.015099545069804293,0.007436713083204492,0.0058447854939022,0.015534121198256956,0.01363975640625547,0.016366996388376458,0.015618826454738707
0.0059943225981440775,0.00440557432228874,0.01484587360352759,0.010775299934409954,0.020939909769528135,0.016140068188723322,0.006802952421543427,0.0047041852678288715,0.014629389067853818,0.012011582823229672,0.01600947487519374,0.01264872242286238
0.006176975180951738,0.004693755494707357,0.014078210486446955,0.01163864031576856,0.01978248543625475,0.015613622268071954,0.006888864939687152,0.004398394955519834,0.015035601657634687,0.014135794910488712,0.013952717812781736,0.011959016678229045
0.005997052012360532,0.004433063301314842,0.01528766713763126,0.012529024800806705,0.021252967847120805,0.01818460644496023,0.007451344930228675,0.005704188571236227,0.015877185422838898,0.01691927584845998,0.01662170265167915,0.01561522124919865
0.006178562810753117,0.004613490549506178,0.01325317833659461,0.010171321131149255,0.019058914196063034,0.01667127875557211,0.007482545411504625,0.005174660077015747,0.012517123226557098,0.008218331055551451,0.0157728926090146,0.014751379178638648
0.005997605803538903,0.004459183349133769,0.015264604236959994,0.012319015715849521,0.02059408143424461,0.017357003749816562,0.007369721141279129,0.0051618682145165296,0.014744316116490451,0.014202268511492384,0.01818261902475302,0.017884765313815408
0.005992464188107478,0.004612892807838414,0.015072919656262937,0.010965298928877473,0.023205571375379326,0.019783923325400632,0.00645784175503732,0.004917188355508063,0.011362592717426128,0.00955644782326169,0.01780433533359516,0.015761184191111617
0.006088572291656892,0.004499929215563952,0.014810002578570134,0.011618749927294196,0.020761722499955063,0.014762155017854675,0.007661457921443811,0.006246240686066764,0.014040214326204024,0.011462870821903757,0.016737202764106316,0.017054646075046455
0.006038300617958202,0.004546006959511191,0.014690537606745735,0.012437174185033577,0.020028382052040692,0.01786844182686182,0.0063828210122456475,0.005552484708867329,0.014993845639838086,0.014197236299153933,0.017010344913767315,0.0158123027205571
0.00595988255325677,0.004434626537177928,0.014917298248421992,0.01207029197595215,0.021870320628970204,0.01541116215567464,0.007296825333294426,0.0048572252454548255,0.014672450838955286,0.013899852482034064,0.015470676230855181,0.014198739378424186
0.00623243195726624,0.004679983170051946,0.013969758554871693,0.010914219906173288,0.020226696962486933,0.016328203729400304,0.006125077246787014,0.004968939903158212,0.014322062701990377,0.012463004457702934,0.015283604365035754,0.014371834116370157
0.006299291450422224,0.004439732896169257,0.013506340246004542,0.011444013319014793,0.018111757075676138,0.014090241643936253,0.00697952646903439,0.004846070237087547,0.013912083512195028,0.012771982723335268,0.014917492980628897,0.013351665511227132
0.006135099335666711,0.004607340497064762,0.014312918559244561,0.010674609855422873,0.021095753971144663,0.017426255510545968,0.007111311690323822,0.005866536499480406,0.013979883046027118,0.011791518646139074,0.01587176344258141,0.014008535550977474
0.005972749634085742,0.004589952760658265,0.014157558601730973,0.010139191024175053,0.018761574903641495,0.01500579233087379,0.007289756867516149,0.005001919521400434,0.013768081878487612,0.011958304277650496,0.016694865351351233,0.014331643761806716
