year,region,eolRecyclingMT,eolLandfillMT,eolIncinerationMT,eolMismanagedMT,consumptionAgricultureMT,consumptionConstructionMT,consumptionElectronicMT,consumptionHouseholdLeisureSportsMT,consumptionPackagingMT,consumptionTransportationMT,consumptionTextileMT,consumptionOtherMT,netImportsMT,netExportsMT,domesticProductionMT,netWasteExportMT,netWasteImportMT
2030,row,27.5309263144963,59.032449084597914,9.475345135430834,71.58783279392586,5.474065385517376,42.46397898422847,14.975237228860719,26.31890686161331,63.45030638959608,16.202182926888998,32.24926947950732,15.289143164323935,7.818196389766166,0,208.60489403077005,0,2.0108891634742414
2031,row,28.597920544279482,59.784299793175514,9.725419228886908,73.74876948298251,5.586784198776453,43.403782861571436,15.49331053301594,26.92732497270739,64.56234604190227,16.644413057273074,33.02380395913148,15.577577801488248,8.73632573628368,0,212.48301768958262,0,2.0723638023504467
2032,row,29.278583292344223,61.203162801565796,9.958524293549468,75.58380355915659,5.691582451766304,44.39714287535889,15.944726323845313,27.338983214940345,65.71293850379634,17.171101089882416,33.499340512290004,15.923751789927085,7.911793106241771,0,217.76777365556492,0,1.8972755918800117
2033,row,29.981330563820556,62.588262130571536,10.17196743075945,77.40963810625966,5.778257528192302,45.407015275649506,16.224096132830503,27.80785605639958,66.56891799964977,17.629033048134605,33.965013271082476,16.28133281800422,8.191776150036494,0,221.46974597990643,0,1.7378590661085007
2034,row,30.64262484466535,64.23159445461647,10.390748664527267,79.005256942683,5.842909364109747,46.08875656564124,16.25314827268138,28.057794249693256,67.54496764001928,17.92917583779137,34.413304662183,16.601347718504336,5.781620732221544,0,226.94978357840208,0,1.7975122552992115
2035,row,31.248634858084248,65.98777650996223,10.609309763984438,80.53884740179451,5.909246081917474,46.800757526725434,16.48737261375804,28.364372201212895,68.3990514201207,18.258431873875637,34.76618485242073,16.908119120853414,5.834416835015186,0,230.05911885586914,0,1.7625333466222677
2036,row,31.891015561103234,67.63187896041106,10.819913974808788,82.03254209115394,5.974433431287179,47.722159563942256,16.821991061565477,28.634173141254987,69.27564466970996,18.647032188858695,35.371611280638405,17.254610762578515,5.50022003578437,0,234.20143606405114,0,1.686162793956131
2037,row,32.05868904530902,69.18508617189052,11.059563258612613,83.8907166211637,6.038266730913348,48.364946253533894,16.94187093914484,28.868867361403044,69.99633410940609,18.69393449806792,35.594504268235745,17.545411804527546,5.213437250591266,0,236.8306987146412,0,1.6555720273703085
2038,row,32.70334355420614,70.1643158432571,11.27983690815551,85.8065209433508,6.091823544886257,49.194275350864736,16.962394896824794,29.105684267592636,70.89895734767616,18.849882448096334,35.959435542292205,17.842087397949363,6.0674777226308185,0,238.83706307355166,0,1.6632973975913288
2039,row,33.43835188911539,71.30215245618193,11.405388041824853,87.5483325184908,6.145216421377925,49.897860198082704,17.175120924285114,29.35145343627983,71.78110712920348,19.020978607598632,36.284218398114845,18.135976171500207,4.028976130953052,0,243.76295515548966,0,1.6799122078039521
