years,popChange,gdpChange,afterGdp,afterPopulation,beforePercent,afterPercent,flagChina,flagEU30,flagNafta,flagRow,flagSword,beforeYear,afterYear,afterTotalConsumption,beforeTotalConsumption
1,0.00647942753289807,0.0894477911861378,10045.4037865323,1325.781,-0.105322411919442,-0.0963346140969999,1,0,0,0,0,2007,2008,73.1927338692644,65.3531375094667
1,0.00661723165439853,0.0867956775407141,10989.5437268541,1334.554,-0.0963346140969999,-0.0857680113189934,1,0,0,0,0,2008,2009,85.0249586046434,73.1927338692644
1,0.00685172724370839,0.0988298283290366,12158.3774277246,1343.698,-0.0857680113189934,-0.093277627059526,1,0,0,0,0,2009,2010,85.5930434733828,85.0249586046434
1,0.00668825882006214,0.088229958183914,13319.6036516575,1352.685,-0.093277627059526,-0.0915744809013993,1,0,0,0,0,2010,2011,91.2776283930021,85.5930434733828
1,0.00652110432214458,0.0716490293826767,14367.0221790085,1361.506,-0.0915744809013993,-0.0888796136285185,1,0,0,0,0,2011,2012,99.5149312976085,91.2776283930021
1,0.00742560076856062,0.0697182007066896,15482.7866863306,1371.616,-0.0888796136285185,-0.0679209904632757,1,0,0,0,0,2012,2013,115.418197195441,99.5149312976085
1,0.00653900216970351,0.0672786988723915,16632.5018336394,1380.585,-0.0679209904632757,-0.0635540642328291,1,0,0,0,0,2013,2014,129.206428560052,115.418197195441
1,0.00667108508349724,0.0629092420105149,17796.7769619942,1389.795,-0.0635540642328291,-0.0517229353304451,1,0,0,0,0,2014,2015,141.597597897524,129.206428560052
1,0.00564183926406405,0.0620083197627991,19006.9577954098,1397.636,-0.0517229353304451,-0.055508052936097,1,0,0,0,0,2015,2016,155.58815181182,141.597597897524
1,0.00608670640996659,0.0625326755529145,20318.4378832931,1406.143,-0.055508052936097,-0.0379153473879071,1,0,0,0,1,2016,2017,152.948706065386,155.58815181182
1,0.00587849173234876,0.0607643057983916,21679.7732214737,1414.409,-0.0379153473879071,-9.77184061066998e-05,1,0,0,0,1,2017,2018,162.003778312903,152.948706065386
1,0.00376199529273351,0.0560272305297477,22980.5596147621,1419.73,-9.77184061066998e-05,0.000296989627617951,1,0,0,0,1,2018,2019,173.334716814495,162.003778312903
1,0.00300620540525313,0.0199338692891409,23509.1124859016,1423.998,0.000296989627617951,0.000184800401296593,1,0,0,0,1,2019,2020,196.815838844558,173.334716814495
1,0.0049862204724412,0.0201025544275266,336.225748152439,510.533,0.0227419428473042,0.0227601693768727,0,1,0,0,0,2007,2008,88.0675045870601,89.714967261113
1,0.00438757142045657,-0.049341115312794,321.038420497197,512.773,0.0227601693768727,0.0359867140018507,0,1,0,0,0,2008,2009,86.2337197511394,88.0675045870601
1,0.00343621836563147,0.0193232430879719,328.36639864608,514.535,0.0359867140018507,0.0169298254885595,0,1,0,0,0,2009,2010,87.6550214887223,86.2337197511394
1,0.00322621396017757,-0.0314694677311023,319.058924986387,516.195,0.0169298254885595,0.016962862304159,0,1,0,0,0,2010,2011,89.5837899731947,87.6550214887223
1,0.00290200408760265,-0.0554760958357528,302.233325902299,517.693,0.016962862304159,0.0179117331971928,0,1,0,0,0,2011,2012,88.686929260925,89.5837899731947
1,0.00236240397301095,-0.00556170373162182,301.262419854749,518.916,0.0179117331971928,0.0257482463295129,0,1,0,0,0,2012,2013,93.8277736309702,88.686929260925
1,0.00175750988599318,0.0179064083419382,307.19590038005,519.828,0.0257482463295129,-0.00296446348447447,0,1,0,0,0,2013,2014,95.8906434465302,93.8277736309702
1,0.0021199319775002,0.0556277200138122,324.971969013921,520.93,-0.00296446348447447,0.0302433680424597,0,1,0,0,0,2014,2015,99.1674245669127,95.8906434465302
1,0.00180638473499324,0.017984439626858,331.413989480156,521.871,0.0302433680424597,0.000736235635585734,0,1,0,0,0,2015,2016,102.872404348839,99.1674245669127
1,0.00220169352196233,0.091951652243077,362.684819972149,523.02,0.000736235635585734,0.025262629356159,0,1,0,0,1,2016,2017,100.804083577276,102.872404348839
1,0.00198845168444794,0.087315970222438,395.137148793946,524.06,0.025262629356159,0.0152326922771075,0,1,0,0,1,2017,2018,103.017765438506,100.804083577276
1,0.00207037362134092,0.0285733000761075,407.268977936362,525.145,0.0152326922771075,0.0130432940778785,0,1,0,0,1,2018,2019,101.180879854444,103.017765438506
1,0.00222795608831882,-0.0582365900440283,384.405556264009,526.315,0.0130432940778785,0.0100535134542088,0,1,0,0,1,2019,2020,98.6264879950901,101.180879854444
1,0.0107670565213845,0.000661664929148788,1936.09674660705,446.286,0.0177256884829106,0.0218384759386983,0,0,1,0,0,2007,2008,76.2308589057717,77.4160001357911
1,0.0103610689109673,-0.0625702159962542,1833.75962626886,450.91,0.0218384759386983,0.0285717177547373,0,0,1,0,0,2008,2009,72.6169997831506,76.2308589057717
1,0.00995985895189737,0.0408148129167912,1927.61361080059,455.401,0.0285717177547373,0.0278125965926129,0,0,1,0,0,2009,2010,75.1746674942002,72.6169997831506
1,0.0100043697752091,0.0263619744088856,1998.22224988488,459.957,0.0278125965926129,0.0307749335277293,0,0,1,0,0,2010,2011,73.0387183444178,75.1746674942002
1,0.010409668729903,0.0257455553639757,2071.00395208222,464.745,0.0307749335277293,0.0271024424792472,0,0,1,0,0,2011,2012,81.5936424067054,73.0387183444178
1,0.0101302865011995,0.00337642910740279,2099.04725050867,469.453,0.0271024424792472,0.0245118921972823,0,0,1,0,0,2012,2013,83.9847512966887,81.5936424067054
1,0.00969639133203967,0.0186207868388627,2158.86533778313,474.005,0.0245118921972823,0.0291991931304118,0,0,1,0,0,2013,2014,80.603873623778,83.9847512966887
