years,popChange,gdpChange,afterGdp,afterPopulation,flagChina,flagEU30,flagNafta,flagRow,flagArticles,flagFibers,flagGoods,flagResin,beforePercent,afterPercent,beforeYear,afterYear,beforeTotalConsumption,afterTotalConsumption
3,0.0191667281650124,0.385333064728228,10045.4037865323,1325.781,1,0,0,0,0,1,0,0,-0.0504838291212899,-0.097823918051607,2005,2008,53.2843892157455,73.1927338692644
3,0.0191667281650124,0.385333064728228,10045.4037865323,1325.781,1,0,0,0,0,0,1,0,-0.0373467732161216,-0.0442666891741909,2005,2008,53.2843892157455,73.1927338692644
3,0.0191667281650124,0.385333064728228,10045.4037865323,1325.781,1,0,0,0,0,0,0,1,0.309659174907541,0.189226433661279,2005,2008,53.2843892157455,73.1927338692644
3,0.0126488626536232,0.0672232659058262,336.225748152439,510.533,0,1,0,0,1,0,0,0,0.0133024218490548,0.00261163298629213,2005,2008,76.6777667686486,88.0675045870601
3,0.0126488626536232,0.0672232659058262,336.225748152439,510.533,0,1,0,0,0,1,0,0,0.0472105559740965,0.0538223493696727,2005,2008,76.6777667686486,88.0675045870601
3,0.0126488626536232,0.0672232659058262,336.225748152439,510.533,0,1,0,0,0,0,1,0,0.0013041590048093,0.00794844821914997,2005,2008,76.6777667686486,88.0675045870601
3,0.0126488626536232,0.0672232659058262,336.225748152439,510.533,0,1,0,0,0,0,0,1,-0.0336473023240798,-0.00238453446574499,2005,2008,76.6777667686486,88.0675045870601
3,0.0326152849441218,0.0469716998251816,1936.09674660705,446.286,0,0,1,0,1,0,0,0,0.0851890734017288,0.071886898280574,2005,2008,74.1879180936336,76.2308589057717
3,0.0326152849441218,0.0469716998251816,1936.09674660705,446.286,0,0,1,0,0,1,0,0,0.0502777284475393,0.0401412242223643,2005,2008,74.1879180936336,76.2308589057717
3,0.0326152849441218,0.0469716998251816,1936.09674660705,446.286,0,0,1,0,0,0,1,0,0.0312719383373435,0.0511603838128172,2005,2008,74.1879180936336,76.2308589057717
3,0.0326152849441218,0.0469716998251816,1936.09674660705,446.286,0,0,1,0,0,0,0,1,-0.0571521631682484,-0.0777900194897452,2005,2008,74.1879180936336,76.2308589057717
3,0.048191574623396,0.0878234498849093,1468.75177439806,4485.935,0,0,0,1,1,0,0,0,-0.00456851492976216,0.00564529609450397,2005,2008,96.3113849390236,104.51179001477
3,0.048191574623396,0.0878234498849093,1468.75177439806,4485.935,0,0,0,1,0,1,0,0,-0.048384726301572,-0.00612371101776702,2005,2008,96.3113849390236,104.51179001477
3,0.048191574623396,0.0878234498849093,1468.75177439806,4485.935,0,0,0,1,0,0,1,0,-0.00446468504499484,-0.0130128859127549,2005,2008,96.3113849390236,104.51179001477
3,0.048191574623396,0.0878234498849093,1468.75177439806,4485.935,0,0,0,1,0,0,0,1,-0.100507328454768,-0.0737715811671621,2005,2008,96.3113849390236,104.51179001477
3,0.0195786319634328,0.343959906636035,10989.5437268541,1334.554,1,0,0,0,1,0,0,0,-0.132914096984563,-0.0833872796453535,2006,2009,58.4588104368075,85.0249586046434
3,0.0195786319634328,0.343959906636035,10989.5437268541,1334.554,1,0,0,0,0,1,0,0,-0.0744113670376895,-0.0809174166375221,2006,2009,58.4588104368075,85.0249586046434
3,0.0195786319634328,0.343959906636035,10989.5437268541,1334.554,1,0,0,0,0,0,1,0,-0.0401992442617403,-0.0301088061907059,2006,2009,58.4588104368075,85.0249586046434
3,0.0195786319634328,0.343959906636035,10989.5437268541,1334.554,1,0,0,0,0,0,0,1,0.264801830285847,0.243810762630208,2006,2009,58.4588104368075,85.0249586046434
3,0.0134374493551053,0.0019419335466279,321.038420497197,512.773,0,1,0,0,1,0,0,0,0.00171417131158028,-0.0027831340303145,2006,2009,81.6721170481703,86.2337197511394
3,0.0134374493551053,0.0019419335466279,321.038420497197,512.773,0,1,0,0,0,1,0,0,0.0416298747098067,0.0431385774698748,2006,2009,81.6721170481703,86.2337197511394
3,0.0134374493551053,0.0019419335466279,321.038420497197,512.773,0,1,0,0,0,0,1,0,0.00526495474271085,0.00649397940406717,2006,2009,81.6721170481703,86.2337197511394
3,0.0134374493551053,0.0019419335466279,321.038420497197,512.773,0,1,0,0,0,0,0,1,-0.0262023329055842,-0.0218012165707969,2006,2009,81.6721170481703,86.2337197511394
3,0.0322747543565652,-0.0507126292153729,1833.75962626886,450.91,0,0,1,0,1,0,0,0,0.0486435852828025,0.0382830467838337,2006,2009,75.2411644561479,72.6169997831506
3,0.0322747543565652,-0.0507126292153729,1833.75962626886,450.91,0,0,1,0,0,1,0,0,0.0531623882872159,0.0516408005177614,2006,2009,75.2411644561479,72.6169997831506
3,0.0322747543565652,-0.0507126292153729,1833.75962626886,450.91,0,0,1,0,0,0,1,0,0.0151512806618565,0.0426897284280161,2006,2009,75.2411644561479,72.6169997831506
3,0.0322747543565652,-0.0507126292153729,1833.75962626886,450.91,0,0,1,0,0,0,0,1,-0.0481119613999304,-0.105209524254852,2006,2009,75.2411644561479,72.6169997831506
3,0.0479962868175804,0.00661814106687017,1441.30717663338,4556.429,0,0,0,1,1,0,0,0,0.0374284152169957,0.0423720417639939,2006,2009,106.069144979381,107.382127709182
3,0.0479962868175804,0.00661814106687017,1441.30717663338,4556.429,0,0,0,1,0,1,0,0,-0.0286605496875735,-0.00558752199085634,2006,2009,106.069144979381,107.382127709182
3,0.0479962868175804,0.00661814106687017,1441.30717663338,4556.429,0,0,0,1,0,0,1,0,0.00744797179381022,-0.01024379031657,2006,2009,106.069144979381,107.382127709182
3,0.0479962868175804,0.00661814106687017,1441.30717663338,4556.429,0,0,0,1,0,0,0,1,-0.0915440583770851,-0.104393535862499,2006,2009,106.069144979381,107.382127709182
3,0.0200812908143202,0.301022373778532,12158.3774277246,1343.698,1,0,0,0,1,0,0,0,-0.130521660092668,-0.1338893855733,2007,2010,65.3531375094667,85.5930434733828
