alpha,degree,depth,estimators,kernel,max_features,testInSampleResponse,testInSampleTarget,testOutSampleResponse,testOutSampleTarget,trainInSampleResponse,trainInSampleTarget,trainOutSampleResponse,trainOutSampleTarget,type,validInSampleResponse,validInSampleTarget,validOutSampleResponse,validOutSampleTarget
0,,,,,,0.11068842005438725,1.2139767980348233,0.1045781465621796,1.484864972435924,0.11945166304963657,1.2413027063811246,0.11686139208108624,1.1486708119333644,linear,0.1097131987151927,1.2001924317870214,0.1045781465621796,1.484864972435924
0.2,,,,,,0.11058031671792784,1.2127045012898583,0.10452489411751165,1.484193478326467,0.11956568895943795,1.2409667475677202,0.11654786388206279,1.1437635020339871,linear,0.10954694546271203,1.1923068426321715,0.10452489411751165,1.484193478326467
0.4,,,,,,0.11043485676711182,1.2083787128232157,0.10464433854117745,1.4867775561337038,0.11934651071645466,1.236924887619377,0.11637608283563146,1.1407430081997685,linear,0.10923947299472168,1.1876313518074044,0.10464433854117745,1.4867775561337038
0.6,,,,,,0.11034975142015759,1.2052374390586935,0.1047222071484907,1.48866349114577,0.11918343481307107,1.2339392044470618,0.11623392814051198,1.1382190250318585,linear,0.10899351509636356,1.1838833764910766,0.1047222071484907,1.48866349114577
0.8,,,,,,0.11030410501134874,1.2028173573185743,0.10476999804549784,1.4901397867973556,0.11905628209643596,1.2315765070151528,0.11611395860842952,1.1360244058418336,linear,0.10880193189188705,1.1809615629088683,0.10476999804549784,1.4901397867973556
1,,,,,,0.11028448533034067,1.2010817900243667,0.10480113666523412,1.4913860125931258,0.1189571141894571,1.2296651228673703,0.1160111319293943,1.134108078039576,linear,0.1086421741645632,1.1784938107948761,0.10480113666523412,1.4913860125931258
0,1,,,linear,,0.10794226981158427,1.1570951917054202,0.09378859739592009,1.3290229446192834,0.11654015254528484,1.2000369865137916,0.11312347937018985,1.0931329730649342,svr,0.10819795019426233,1.1613512210897459,0.09378859739592009,1.3290229446192834
0.2,1,,,linear,,0.10794524342079498,1.1573540586375781,0.0938967165115884,1.3313839735341597,0.11657117967216857,1.2006063541944196,0.1131377796843535,1.0937237578994567,svr,0.10827033328786455,1.162085160137349,0.0938967165115884,1.3313839735341597
0.4,1,,,linear,,0.10795037057752893,1.1572680189903979,0.0938237784534288,1.3297343273760351,0.11655963235857246,1.2003584832414027,0.11313601278379921,1.0934517447323677,svr,0.10824403677671521,1.1617236986850237,0.0938237784534288,1.3297343273760351
0.6,1,,,linear,,0.10794773975639975,1.157278744064721,0.09381343055721339,1.3294957141763697,0.11655820730619415,1.2003452902493703,0.11313335103716002,1.0934092571028995,svr,0.10824417293020304,1.1616714109137054,0.09381343055721339,1.3294957141763697
