year,region,eolRecyclingMT,eolLandfillMT,eolIncinerationMT,eolMismanagedMT,consumptionAgricultureMT,consumptionConstructionMT,consumptionElectronicMT,consumptionHouseholdLeisureSportsMT,consumptionPackagingMT,consumptionTransportationMT,consumptionTextileMT,consumptionOtherMT,netImportsMT,netExportsMT,domesticProductionMT,netWasteExportMT,netWasteImportMT
2020,eu30,30.290114907800906,18.140783104122523,36.81589154351857,2.3475277025131995,2.7362269128680365,17.203625758753432,6.119623449657865,8.817040212090088,37.01286878109677,6.8795672007485615,10.877015021557481,8.9805206583179,8.850000000000001,0,89.77648799509015,0.9915427239999999,0
2021,eu30,30.523849734422402,15.830802180698582,38.90143553277551,2.8766999797819723,2.93233015638277,18.105929944379042,6.0265192369014855,9.383126182471514,39.593037881232135,7.39683370447778,10.436724429187137,9.658290131036289,4.556198584068726,0,98.97659308199944,0.08520150439921137,0
2010,nafta,5.014190527825937,45.16551015642207,9.089795140267368,3.722847489880815,0.5342359095343607,12.660917850730089,6.035455617752607,14.478295183659064,23.8025688867254,4.574500058109586,8.161572904080284,4.927121083608788,15.385583097493424,0,59.78908439670674,2.090802701,0
2011,nafta,5.295040133232777,44.864127739236466,10.34736431343438,3.3724742947489825,0.6569752762228482,11.75038689749464,4.253145893666068,14.96981550321835,24.428311697860533,4.66398117587517,8.11834738760935,4.197754512470844,10.066184573002756,0,62.97253377141506,2.247761702,0
2012,nafta,5.830223025876476,47.47275852334364,10.487700040800789,3.2166747728973673,0.6555637230575551,12.538150888867781,4.962169155589433,15.437284525266332,28.800504838091,5.282201407972098,9.208337483683174,4.709430384177978,15.556526548672565,0,66.03711585803279,2.211387,0
2013,nafta,6.300536604007729,49.23931396326829,10.381409327828928,3.0124009802531484,0.7445626603538729,14.803714423821418,3.6716934344019583,15.916396831230113,27.67468944111775,5.463400570629787,10.194755021774863,5.515538913358923,15.573094209161626,0,68.41165708752706,2.05862517,0
2014,nafta,6.523029672245563,49.25988335823416,10.321249481401207,2.7110481971147173,0.702530292603091,13.497769969854476,3.6603882094782785,16.251219057747743,26.911542143253246,5.4943708962519455,9.177045948439947,4.90900710614926,10.21697617091208,0,70.38689745286591,2.353568073,0
2015,nafta,6.333691982646298,50.13064715104466,10.819765530575886,2.7084406599824495,0.6759290055316169,13.867043518969005,7.13019670607471,16.776753671728578,27.67727643434985,5.680499315759954,10.143238868938537,4.982505795505498,16.03,0,70.90344331685776,1.860030491,0
2016,nafta,6.700907269191483,51.03382461717216,10.906795874322308,2.6518484086587577,0.7062786138126915,12.747918562945014,4.031995597378229,16.3416243177188,26.709002446841442,5.565968303048588,9.803331438767646,4.738288453891164,10.71,0,69.93440773440358,0.097165117,0
2017,nafta,6.206254989093086,53.2331080233309,11.569866148498207,2.2714746713327703,0.6460620949781338,15.261889933233148,3.896439552218999,17.589199078302176,28.53292612659043,6.171993687615395,10.072438507029798,5.232585421948631,14.450000000000001,0,72.95353440191671,1.5424014,0
2018,nafta,6.52029386456026,55.151446371713526,11.858502120880383,1.7618346008165138,0.7093519417782802,16.097062271166916,4.131862744951471,17.98172765380972,29.26064192716101,6.136219711787454,10.033303666982805,5.514478871985673,15.094283185840707,0,74.77036560378261,0.854936838,0
2019,nafta,6.9293762598358235,56.470963340123845,11.947994281909612,1.3889447431121642,0.6958152973383017,16.693320470492402,4.12673411460726,18.687938775326504,30.12938865761117,6.231916474456587,8.993514000156981,5.6739463237495755,14.51,0,76.72257411373877,0.797769459,0
2020,nafta,7.349327377109158,56.94946873921607,12.032568971671271,1.8529687110370965,0.733269891530679,16.55927325551854,7.61056054557346,18.86574547555634,30.430601542506942,5.967426273767622,11.068280139289651,6.232489970866582,21.259999999999998,0,76.20764709460983,0.3324026259999999,0
2021,nafta,8.397142565134015,55.56588623028687,12.946164852310707,1.9954418925066353,0.755124642926043,15.736494312580351,6.3143005830539245,17.947942179691076,29.453866533189853,5.777725161038635,10.467526208431641,5.617188155933489,13.092605745177055,0,78.97756203166794,0.040127037032529955,0
2022,row,25.927568111945305,44.85375492665886,7.6455834972576575,57.84620632719174,4.440436126632464,33.747383690003225,10.288328429797481,20.71640046655005,51.74499848008497,10.958696007004768,26.612344988948408,12.927621109022756,13.216716369109585,0,158.21949292893453,0,3.4273875230231283
2023,row,27.13809336749976,41.62608922630462,7.874902901070459,62.72587933929199,4.596846258427367,34.73108154469394,11.048089411205929,21.565466429176723,53.74147011411681,11.312614336418305,29.545526060434952,12.899332589571255,10.439811204572914,0,169.00061553947236,0,3.2278169633026295
2024,row,28.516351903838185,38.22232090410605,8.049362639202169,68.03105335902474,4.754402748059075,35.77839819415219,11.77929574205088,22.408725735449,55.73993089497296,11.669002529013316,32.38640136715803,12.913131415416245,9.71924558219408,0,177.71004304407762,0,3.1446996448786706
2025,row,30.086971510359177,34.87842920042709,8.21110970169094,73.88727831350954,4.902815021062954,36.80130967818137,12.446058288696637,23.19528621397424,57.614251804098956,12.004626757626362,34.98900594695216,12.953405570866341,9.408804385378122,0,185.49795489608093,0,3.1424512084010985
2026,row,31.83497019859812,31.570515251049123,8.379005424337317,80.20414179201502,5.039023667791454,37.788156449390385,13.028929626191005,23.90692312597032,59.3236821557896,12.312547642075883,37.28067031063071,13.026393068385442,9.343899987906134,0,192.36242605831868,0,3.2408239691831113
2027,row,33.70640806469448,28.148587742367184,8.55633560175314,86.88224772899832,5.164057042862266,38.742588042140206,13.53460965672473,24.549819812447684,60.88197983561167,12.595098298356412,39.286364592249726,13.129795014158272,9.499049140016234,0,198.38526315453473,0,3.432615108337302
2028,row,35.676388408559234,24.455190169199778,8.74183606444538,93.97166585703467,5.281360682207203,39.674219632232656,13.987127106491169,25.14525093805912,62.33582669521638,12.86010165471609,41.095023104235594,13.253949919766011,9.703559619217678,0,203.92930011370652,0,3.6882298139927485
2029,row,37.7176046341439,20.4012659320815,8.932737064502588,101.44661175553082,5.392668587125237,40.58959026046926,14.397546248402744,25.70356063739332,63.70833479929287,13.111490940783485,42.747973043428914,13.39527025471305,9.94867758518965,0,209.09775718641922,0,3.996328043272115
2030,row,39.79942010182986,15.935564264696906,9.123781543919545,109.26798050814959,5.499197457642007,41.490168525296134,14.775517723206935,26.23267238798,65.01642046576944,13.352032854819004,44.2805063649306,13.548899674138465,10.223180842741279,0,213.9722346110413,0,4.342431554282783
2031,row,41.89757980410203,11.037956235102715,9.309926491249906,117.40612516793587,5.601822555088774,42.37511378288135,15.129131547835602,26.738690698938072,66.27267805254532,13.583721857827996,45.721838521565275,13.70992222683071,10.522655057381263,0,218.61026418613184,0,4.712159416566379
2032,row,44.00197753224987,5.711252473134864,9.49234807562758,125.82235648713754,5.700908092038201,43.247329807050725,15.459785968006326,27.223461922691442,67.48161905983966,13.807380726244489,47.0775626105991,13.878731779255016,10.956274549551662,0,222.92050541617328,0,5.106328648180323
2033,row,46.10171609425084,0.5915756524230705,9.745801382255076,133.7056622397113,5.7846387838903475,44.08151549193146,15.680442444111652,27.61239603001574,68.48144475857274,13.996166537325212,48.02723320172893,14.0942105761257,11.487771665581565,0,226.27027615812023,0,5.642459422130798
2034,row,48.17149642628744,-3.6027751250201363,10.118999513429902,140.1657228199115,5.844899108323073,44.85917836063032,15.731991005934074,27.85449720117135,69.16127072132271,14.131644238775895,48.35299454023203,14.382230268305936,12.173861062753982,0,228.14484438194137,0,6.398943733644117
2035,row,50.194985980847434,-7.785825563761041,10.477697639114995,146.33777545587515,5.903000030788619,45.62789397482113,15.770247264295218,28.083887980218016,69.81249476694515,14.262225543948912,48.62891196562589,14.674114790674768,12.859286668240614,0,229.90348964907707,0,7.167869474829544
2036,row,52.17345472609135,-11.922695517789212,10.816374165022205,152.25303662903696,5.959291155329309,46.38285098706678,15.801149968752714,28.30396112513653,70.4411505767058,14.388716940458778,48.87568427557085,14.96454485950606,13.536048172580479,0,231.58130171594635,0,7.934136894686873
2037,row,54.09130360809947,-15.951852545713326,11.13221088449381,157.79287499787958,6.013698698026422,47.1288518630956,15.821154890020114,28.513192985101746,71.04511592964298,14.510939889837594,49.081302774035066,15.25748256727584,14.210016583688247,0,233.1617230133471,0,8.708849094165487
2038,row,55.94284762443735,-19.79571124308904,11.422633029017453,162.86242974423507,6.066133987814326,47.8690178034167,15.827605880137444,28.71031766903298,71.62243442793499,14.628685659489193,49.23668259111099,15.555702313317692,14.889105202813223,0,234.62747512944108,0,9.499809420054873
2039,row,57.72289811290199,-23.433777965152625,11.681855483454692,167.50270848443733,6.116826190069974,48.59610433698254,15.826870300468567,28.898431483766704,72.17797800970501,14.742491898918509,49.36364450897051,15.852650213697675,15.561312806763814,0,236.01368413581565,0,10.288569047262925
2040,row,59.44679853033482,-26.832203378048106,11.911742443400454,171.73566840299196,6.1657689802263205,49.31008245812651,15.818910913910788,29.077497799678603,72.71166353188633,14.852344273468901,49.462048192108,16.14833548816424,16.232476352529005,0,237.31417528504068,0,11.075158560824406
2041,row,61.146391119212474,-29.871529805298177,12.116798711863797,175.45874982758872,6.2126448120981115,50.02118212227608,15.794788822944628,29.243185326161086,73.21669719160661,14.9574973603339,49.5012709175619,16.45198324088774,16.921115389750895,0,238.47813440411912,0,11.885542249279283
2042,row,62.83363513845649,-32.450285095215335,12.29381555950885,178.59837235588526,6.2572731825165935,50.73060090254645,15.7522160755906,29.39401672473338,73.6902521199933,15.05753759365139,49.47322133903137,16.76537521363448,17.62902992166064,0,239.49146323003689,0,12.724826836115767
2043,row,64.50321275140912,-34.56503442219226,12.43676405584424,181.19247486193854,6.299894321582408,51.43231976399728,15.69691458296668,29.532901874487877,74.13708242111936,15.15302511752212,49.3975958509061,17.08282215812744,18.34268639213174,0,240.38986969857757,0,13.576965528381237
2044,row,66.17123493546495,-32.21409051553303,12.517653721797132,179.0738689165847,6.3139210526466,52.06457304853564,15.435950208993699,29.493026119019124,74.19418587320655,15.183567653701221,48.563065484792446,17.488195182215886,19.229139747145062,0,239.50734487596608,0,14.696305332390267
2045,row,67.78651148292809,-27.054143236556904,12.45208572338131,173.98529878404142,6.316206686633825,52.6674010072395,15.091084735275746,29.379942077030385,74.09146651806279,15.187445232696188,47.418742734876844,17.928994920610865,20.177591343273924,0,237.90369256915218,0,15.923474172519306
2046,row,69.35873987679565,-20.306800287476637,12.22591589465633,167.26881553856074,6.316360658677126,53.26434313419016,14.731315321145228,29.25368256529268,73.95985225508952,15.186482834731656,46.21927193444796,18.375819070199565,21.129594730098006,0,236.1775330436759,0,17.16908386370183
2047,row,70.86327301922805,-12.115676296189145,11.8345194634262,159.06749039000968,6.315178665780572,53.85196323829246,14.365612901469472,29.12036698575377,73.81139145630206,15.182499494092578,44.99660335366403,18.8221951587638,22.074166144816395,0,234.39164510930237,0,18.414475355469833
2048,row,72.26508572190988,-2.7188352113677823,11.282522096485824,149.5821399447217,6.313574205876786,54.42892279904725,14.002699874029016,28.98646487245188,73.65933203696672,15.17757781592925,43.78215910978747,19.262646712236073,22.997304352554462,0,232.61607307376997,0,19.6436754936731
2049,row,73.58100467016705,7.90252433729485,10.566817570140318,138.7889045044677,6.312034400907195,55.006848327281894,13.639762551654027,28.852794453206105,73.50797252673478,15.172801206034595,42.567798901516824,19.703505955446726,23.911329469477508,0,230.8521888533046,0,20.873962360301704
