year,region,eolRecyclingMT,eolLandfillMT,eolIncinerationMT,eolMismanagedMT,consumptionAgricultureMT,consumptionConstructionMT,consumptionElectronicMT,consumptionHouseholdLeisureSportsMT,consumptionPackagingMT,consumptionTransportationMT,consumptionTextileMT,consumptionOtherMT,netImportsMT,netExportsMT,domesticProductionMT,netWasteExportMT,netWasteImportMT
2012,china,26.413253563205764,23.944358942312643,8.164334063800002,6.799257408332641,5.560913636564804,16.29528378140699,8.303050501796758,6.362539708525559,30.36160522707914,5.560766312902411,23.390175451150053,3.6805966781827575,0,30.810000000000002,130.3249312976085,0,8.844848643999999
2013,china,23.15949277157454,30.092820544882912,13.285853220056868,6.0548642543865725,6.382186407057532,18.367510332251513,9.607559349865493,7.585689687199018,35.255420138575786,6.597378113736809,27.006296159716157,4.616157007038336,0,33.230000000000004,148.64819719544067,0,7.839318271
2014,china,32.951490286528475,28.05652252657316,13.920810751482682,4.664148142006206,6.777437696457347,19.537594943186335,12.811381578486055,8.450801304177451,38.026952410160405,7.185978806816023,31.060333673679384,5.355948147089088,0,29.31,158.51642856005208,0,8.21159366
2015,china,29.405715590596664,34.9746477110944,18.802819632042723,4.516535499301307,7.708370677603872,22.09880195972005,13.765177680167355,9.478771548592496,43.439004726253394,8.067598218132115,30.810648169807312,6.229224917247484,0,38.57,180.16759789752408,0,7.323843398999999
2016,china,30.311833573302707,37.956600164050656,23.602381746466495,3.5694665479896766,7.686568251242473,26.332355225276945,14.946814074173313,10.76400884992292,43.87827312204412,8.787048999553399,35.23057493597913,7.962508353627751,0,23.47,179.05815181182004,0,8.636395366999999
2017,china,27.449924569407493,42.151569563509625,29.639750012584944,3.5674621069604493,8.195886529536125,22.95725030379461,15.568064203655942,10.327386960218856,46.57190499258377,8.641302409273923,32.42053541225882,8.266375254063927,0,37.089999999999996,190.03870606538595,0,5.799103323
2018,china,29.805180088744855,41.37400554541322,35.998034173850726,3.2233750318198133,8.349383270842969,25.332483682882305,16.064051066770887,11.519359495669809,47.202990000308816,9.349083551047721,35.65429425082999,8.532132994550263,0,29.759999999999998,191.76377831290276,0,0.015830750999999997
2019,china,35.91385619221663,37.90108956818595,42.15089588426492,3.7470123293879354,9.36127374341174,24.40854837005557,17.93208790416833,12.080066992264266,53.144281091188816,9.42447716920639,38.909161804879716,8.074819739320631,0,45.53,218.86471681449544,0.051478613,0
2020,china,35.02251751408882,45.96130907360737,48.15432010654806,2.193011032940695,10.284897099591436,26.151212808318554,17.295508078380784,14.950961191413871,58.59719969031734,11.988301030768975,48.76187379258161,8.785885153185456,0,39.48,236.29583884455803,0.036371645999999994,0
2021,china,30.82814687956142,48.958128748455096,62.8788424881832,-2.9352020414617925,10.196732037647052,28.163112467971132,18.46587669883752,14.010007941473987,58.37123920626709,11.228631046999908,43.91784643068422,9.697046150437927,0,43.122,237.17249198031885,4.040717896423303,0
2010,eu30,17.442611623146068,27.591946683572022,23.83847329631274,2.350372329782852,2.3833960453933827,14.661878308276535,4.908396944417728,8.098013868791277,32.208995578507654,5.885045922769006,11.13638254522781,8.372912275338894,8.316858053334823,0,79.33816343538746,1.483984217,0
2011,eu30,18.59556834291683,27.534619109334724,25.68238336494183,1.3910070807693695,2.5228914371827056,15.133285927017042,5.145036495008843,8.24009972628763,33.60321956164419,5.934427620384897,10.600664634695086,8.40416457097436,5.919683195592286,0,83.66410677760246,1.519597494,0
2012,eu30,20.820728583853736,24.981880666032993,26.860386372196643,2.1778691653132416,2.51362219321049,15.08612986831589,5.1731522662509395,8.224912904554925,33.28506699412456,5.321356851654702,10.648489238987409,8.434198943826111,5.577013274336283,0,83.10991598658876,1.588536615,0
2013,eu30,22.131157943667237,23.872500353792873,28.95844756926995,1.749013522064516,2.6468351546835076,15.75602802406994,5.620891136938136,8.62532092027783,35.279812916944245,5.812211644751857,11.231979793265724,8.854694040038959,6.418340535868626,0,87.40943309510158,2.415900628,0
