years,popChange,gdpChange,afterGdp,afterPopulation,flagChina,flagEU30,flagNafta,flagRow,flagAgriculture,flagConstruction,flagElectronic,flagHouseholdLeisureSports,flagOther,flagPackaging,flagTextile,flagTransportation,consumptionChange,beforeConsumptionMT,afterConsumptionMT,beforeYear,afterYear
1,0.00621056418582336,0.120252158763692,8019.967777672,1308.927,1,0,0,0,1,0,0,0,0,0,0,0,0.00203461843493109,3.11609773891351,3.12243780881815,2005,2006
1,0.00621056418582336,0.120252158763692,8019.967777672,1308.927,1,0,0,0,0,1,0,0,0,0,0,0,-0.0803049921767869,11.1902731880371,10.2916383872156,2005,2006
1,0.00621056418582336,0.120252158763692,8019.967777672,1308.927,1,0,0,0,0,0,1,0,0,0,0,0,0.0673167937571211,5.72590361381384,6.11135308645811,2005,2006
1,0.00621056418582336,0.120252158763692,8019.967777672,1308.927,1,0,0,0,0,0,0,1,0,0,0,0,0.0308593875878758,2.63737746546614,2.71876531888849,2005,2006
1,0.00621056418582336,0.120252158763692,8019.967777672,1308.927,1,0,0,0,0,0,0,0,1,0,0,0,0.0305516481724949,1.05737120889255,1.08967564205437,2005,2006
1,0.00621056418582336,0.120252158763692,8019.967777672,1308.927,1,0,0,0,0,0,0,0,0,1,0,0,0.0904897143629743,14.90678584248,16.255696635436,2005,2006
1,0.00621056418582336,0.120252158763692,8019.967777672,1308.927,1,0,0,0,0,0,0,0,0,0,1,0,0.0489077945729246,2.89570110098343,3.03732345557491,2005,2006
1,0.00360602670601953,0.0125988799440291,316.167706004914,505.974,0,1,0,0,1,0,0,0,0,0,0,0,0.0974502000713992,2.12194108390115,2.32872466706704,2005,2006
1,0.00360602670601953,0.0125988799440291,316.167706004914,505.974,0,1,0,0,0,1,0,0,0,0,0,0,0.0149942342734183,12.4105669372756,12.596653885399,2005,2006
1,0.00360602670601953,0.0125988799440291,316.167706004914,505.974,0,1,0,0,0,0,1,0,0,0,0,0,-0.0194112108768226,4.75388856655133,4.66160983310109,2005,2006
1,0.00360602670601953,0.0125988799440291,316.167706004914,505.974,0,1,0,0,0,0,0,1,0,0,0,0,0.0777592415988869,7.40066192948032,7.97613178844646,2005,2006
1,0.00360602670601953,0.0125988799440291,316.167706004914,505.974,0,1,0,0,0,0,0,0,1,0,0,0,0.0512639327582944,7.69556109347749,8.09006581991086,2005,2006
1,0.00360602670601953,0.0125988799440291,316.167706004914,505.974,0,1,0,0,0,0,0,0,0,1,0,0,0.0852072412308525,28.7482841516991,31.197846134386,2005,2006
1,0.00360602670601953,0.0125988799440291,316.167706004914,505.974,0,1,0,0,0,0,0,0,0,0,1,0,0.216727209374946,4.87588795974106,5.93262555048064,2005,2006
1,0.0106943705314792,0.0338939341560325,1871.32576589833,436.812,0,0,1,0,1,0,0,0,0,0,0,0,0.260322360565643,0.438935941796651,0.553200782302259,2005,2006
1,0.0106943705314792,0.0338939341560325,1871.32576589833,436.812,0,0,1,0,0,1,0,0,0,0,0,0,-0.135863564988773,13.86165801199,11.9783637378259,2005,2006
1,0.0106943705314792,0.0338939341560325,1871.32576589833,436.812,0,0,1,0,0,0,1,0,0,0,0,0,-0.302219464761617,3.16698689837933,2.20986181304408,2005,2006
1,0.0106943705314792,0.0338939341560325,1871.32576589833,436.812,0,0,1,0,0,0,0,1,0,0,0,0,0.0671665193860198,14.8498640696757,15.8472777525913,2005,2006
1,0.0106943705314792,0.0338939341560325,1871.32576589833,436.812,0,0,1,0,0,0,0,0,1,0,0,0,0.0605247025571075,4.51348704570043,4.78666450663681,2005,2006
1,0.0106943705314792,0.0338939341560325,1871.32576589833,436.812,0,0,1,0,0,0,0,0,0,1,0,0,0.0725284098692161,24.3359250236813,26.1009709683454,2005,2006
