alpha,degree,depth,estimators,kernel,max_features,testInSampleResponse,testInSampleTarget,testOutSampleResponse,testOutSampleTarget,trainInSampleResponse,trainInSampleTarget,trainOutSampleResponse,trainOutSampleTarget,type,validInSampleResponse,validInSampleTarget,validOutSampleResponse,validOutSampleTarget
0,3,,,poly,,0.06299704743958937,0.06299704743958937,0.06718823060364425,0.06718823060364425,0.06043121817452506,0.060431218174525056,0.06031343376968742,0.06031343376968741,svr,0.06115120849302601,0.061151208493026,0.06718823060364425,0.06718823060364425
0.2,3,,,poly,,0.06299704743958937,0.06299704743958937,0.06718823060364425,0.06718823060364425,0.06043121817452506,0.060431218174525056,0.06031343376968742,0.06031343376968741,svr,0.06115120849302601,0.061151208493026,0.06718823060364425,0.06718823060364425
0.4,3,,,poly,,0.06299704743958937,0.06299704743958937,0.06737987469613625,0.06737987469613627,0.06043121817452506,0.060431218174525056,0.060428252660177734,0.060428252660177734,svr,0.06115120849302601,0.061151208493026,0.06737987469613625,0.06737987469613627
0.6,3,,,poly,,0.0630868750309491,0.0630868750309491,0.06756140499545735,0.06756140499545735,0.06052040977498109,0.06052040977498109,0.06045409270788123,0.06045409270788123,svr,0.06122250498630212,0.06122250498630211,0.06756140499545735,0.06756140499545735
0.8,3,,,poly,,0.06334486655182155,0.06334486655182155,0.06770375440962066,0.06770375440962066,0.06085380424195877,0.06085380424195877,0.06045067675898016,0.06045067675898016,svr,0.0614950802397622,0.06149508023976219,0.06770375440962066,0.06770375440962066
0,4,,,poly,,0.063670672535724,0.063670672535724,0.06988852479570398,0.06988852479570398,0.06158659197823534,0.06158659197823534,0.06091923990321151,0.060919239903211506,svr,0.06227140590471051,0.0622714059047105,0.06988852479570398,0.06988852479570398
0.2,4,,,poly,,0.063670672535724,0.063670672535724,0.06988852479570398,0.06988852479570398,0.06158659197823534,0.06158659197823534,0.06091923990321151,0.060919239903211506,svr,0.06227140590471051,0.0622714059047105,0.06988852479570398,0.06988852479570398
0.4,4,,,poly,,0.063670672535724,0.063670672535724,0.06989067639169058,0.06989067639169058,0.06158659197823534,0.06158659197823534,0.06090157402648781,0.060901574026487805,svr,0.06227140590471051,0.0622714059047105,0.06989067639169058,0.06989067639169058
0.6,4,,,poly,,0.06370251809257915,0.06370251809257915,0.07005343316117836,0.07005343316117835,0.061616260287991526,0.06161626028799152,0.06111098776593195,0.06111098776593195,svr,0.06222797357296631,0.06222797357296631,0.07005343316117836,0.07005343316117835
0.8,4,,,poly,,0.06403591451658361,0.06403591451658361,0.07045768743666654,0.07045768743666653,0.062061184476430546,0.06206118447643055,0.0613426924365313,0.061342692436531294,svr,0.062467564683451236,0.062467564683451236,0.07045768743666654,0.07045768743666653
0,1,,,rbf,,0.055945942350728466,0.05594594235072846,0.05931002083430539,0.05931002083430538,0.05398345708824646,0.05398345708824646,0.053825350228420644,0.053825350228420644,svr,0.053121605877666345,0.053121605877666345,0.05931002083430539,0.05931002083430538
0.2,1,,,rbf,,0.055945942350728466,0.05594594235072846,0.05928367125659144,0.05928367125659144,0.05398345708824646,0.05398345708824646,0.053881559603503486,0.053881559603503486,svr,0.053121605877666345,0.053121605877666345,0.05928367125659144,0.05928367125659144
0.4,1,,,rbf,,0.055945942350728466,0.05594594235072846,0.05920446294602223,0.059204462946022225,0.05398345708824646,0.05398345708824646,0.053851983209744075,0.053851983209744075,svr,0.053121605877666345,0.053121605877666345,0.05920446294602223,0.059204462946022225
0.6,1,,,rbf,,0.055983264873739336,0.05598326487373934,0.05959492713829896,0.05959492713829896,0.0540611435199265,0.0540611435199265,0.053861900770424895,0.053861900770424895,svr,0.05315312376449605,0.05315312376449605,0.05959492713829896,0.05959492713829896
0.8,1,,,rbf,,0.0562312993549009,0.0562312993549009,0.0597374496819697,0.059737449681969694,0.05435466413133474,0.05435466413133474,0.05387531793272318,0.05387531793272318,svr,0.05328133508673537,0.05328133508673537,0.0597374496819697,0.059737449681969694
0,2,,,rbf,,0.055945942350728466,0.05594594235072846,0.05931002083430539,0.05931002083430538,0.05398345708824646,0.05398345708824646,0.053825350228420644,0.053825350228420644,svr,0.053121605877666345,0.053121605877666345,0.05931002083430539,0.05931002083430538
0.2,2,,,rbf,,0.055945942350728466,0.05594594235072846,0.05928367125659144,0.05928367125659144,0.05398345708824646,0.05398345708824646,0.053881559603503486,0.053881559603503486,svr,0.053121605877666345,0.053121605877666345,0.05928367125659144,0.05928367125659144
